,user_id,user_name,user_lastname,user_location,user_since
0,a3141825-3a8c-4968-a3af-5362011ef7d5,Elizabeth,Carey,"['46.32313', '-0.45877', 'Niort', 'FR', 'Europe/Paris']",2020-12-22T14:15:35.936090
1,923d55a6-26e9-4a61-b3e1-9c010e5db2cc,Joshua,Bishop,"['46.75451', '33.34864', 'Nova Kakhovka', 'UA', 'Europe/Kyiv']",2023-09-20T02:26:02.939528
2,ff728e8b-0c5b-48f7-a133-a30bf86c25e3,Joseph,Mcclain,"['32.57756', '71.52847', 'Mianwali', 'PK', 'Asia/Karachi']",2023-12-05T17:59:27.933557
3,9ae4d3aa-8cc8-42ac-beb4-5c9c799a392d,Jasmine,White,"['35.6803', '51.0193', 'Shahre Jadide Andisheh', 'IR', 'Asia/Tehran']",2024-06-18T17:56:45.626088
4,043010aa-9aad-4f63-8932-45eddada7856,Tyler,Ibarra,"['51.168', '7.973', 'Finnentrop', 'DE', 'Europe/Berlin']",2023-11-13T10:27:32.854497
5,beafe60e-e267-4885-83a9-d5226d0fb422,Gina,Ford,"['37.13548', '-3.67029', 'Las Gabias', 'ES', 'Europe/Madrid']",2020-11-26T23:05:53.981061
6,61500cde-aaae-4d02-ab38-b09b430ba237,Michael,Liu,"['-34.74785', '-58.70072', 'Pontevedra', 'AR', 'America/Argentina/Buenos_Aires']",2022-09-16T03:37:09.205715
7,580598a2-8566-4998-9118-2b9fbc174dca,James,Brooks,"['40.49748', '44.7662', 'Hrazdan', 'AM', 'Asia/Yerevan']",2022-11-27T12:01:31.563643
8,f5116956-0d91-45a5-9878-45580391beb3,Melvin,Mitchell,"['46.18396', '6.10237', 'Onex', 'CH', 'Europe/Zurich']",2023-01-26T12:41:39.367767
9,a16cb337-79c0-44be-a8a0-bbf64a7f2d1e,William,Allen,"['13.48082', '-86.58208', 'Somoto', 'NI', 'America/Managua']",2022-04-20T23:46:26.684248
10,cba15ee8-80f5-4fa0-a980-f53699afb3d6,Travis,Castillo,"['42.93369', '-72.27814', 'Keene', 'US', 'America/New_York']",2023-09-19T16:25:42.329192
11,35b13473-d2db-4e4b-90d4-8aa9c9643cc1,James,Sullivan,"['37.30553', '120.82747', 'Zhuangyuan', 'CN', 'Asia/Shanghai']",2020-10-25T18:15:37.533087
12,e922859b-13fc-4ab6-bad7-4cfdde418935,Joshua,Norman,"['51.38673', '0.30367', 'Hartley', 'GB', 'Europe/London']",2021-11-26T06:01:51.034214
13,765cdfbe-005f-48fc-85d5-58eaa9cc31ea,Anthony,Lewis,"['53.83333', '-2.98333', 'Poulton-le-Fylde', 'GB', 'Europe/London']",2023-09-01T04:24:46.919221
14,aacbb62d-25f5-4132-8aa1-93c66da7b22d,Cody,Perkins,"['-54.8', '-68.3', 'Ushuaia', 'AR', 'America/Argentina/Ushuaia']",2020-06-15T08:57:55.661297
15,d90e2e0e-7ac8-405f-ad1f-722f595c9b41,Tamara,Mercado,"['-36.9256', '-73.02841', 'Chiguayante', 'CL', 'America/Santiago']",2024-02-27T14:03:02.311368
16,85f0fa0e-64da-41d7-a134-cf1fc1f280ce,Corey,Wilson,"['35.30889', '139.55028', 'Kamakura', 'JP', 'Asia/Tokyo']",2020-07-28T10:29:34.146024
17,5f121489-64e3-4158-a322-5c72f4a77716,Jamie,Yang,"['41.55815', '-73.0515', 'Waterbury', 'US', 'America/New_York']",2020-12-21T03:13:47.194834
18,0dc491e0-4b6f-479a-bf0e-7b28e4c5293d,James,Green,"['33.3213', '130.94098', 'Hita', 'JP', 'Asia/Tokyo']",2020-10-13T05:22:42.103668
19,5baf5bfb-0777-44b2-8264-06eb19245c0c,Sharon,Johnson,"['23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata']",2022-09-30T17:00:04.817461
20,64f3b549-da2f-45bc-b976-8aecdadaec59,Amanda,Davis,"['41.9001', '-71.08977', 'Taunton', 'US', 'America/New_York']",2020-12-23T19:30:19.519375
21,e40f599a-211d-4c6d-b0ab-50f71429965e,Eric,Macdonald,"['8.43333', '99.96667', 'Nakhon Si Thammarat', 'TH', 'Asia/Bangkok']",2021-05-08T19:35:07.931675
22,631c3a09-00e1-4e9f-8212-4f97388b5150,Christopher,Hurst,"['-33.38056', '-56.52361', 'Durazno', 'UY', 'America/Montevideo']",2021-12-14T15:06:43.246065
23,215298d5-9c52-41ed-bdef-94554eaae94f,Ashley,Gilmore,"['39.09112', '-94.41551', 'Independence', 'US', 'America/Chicago']",2023-02-28T14:05:32.749593
24,1cb34a95-22de-48b2-889b-b7e892b68a1b,Adam,Strickland,"['-11.48472', '-37.93278', 'Rio Real', 'BR', 'America/Bahia']",2020-12-02T18:39:56.553148
25,78700651-034e-4294-b29b-b3deabce1737,Samuel,Butler,"['-19.72806', '-50.19556', 'Iturama', 'BR', 'America/Sao_Paulo']",2020-03-01T06:52:30.016832
26,16324716-07af-4b1e-abe1-7cee35c858d9,Frederick,Mack,"['54.90083', '38.07083', 'Stupino', 'RU', 'Europe/Moscow']",2022-05-07T15:44:01.079338
27,855c0815-b9d3-42c2-800f-985a71641da8,Dillon,Humphrey,"['-20.88231', '55.4504', 'Saint-Denis', 'RE', 'Indian/Reunion']",2024-01-21T23:27:07.937534
28,36df9037-b5e1-4588-98e9-4dfce32a5057,Robert,Williams,"['41.29444', '69.67639', 'Parkent', 'UZ', 'Asia/Tashkent']",2021-06-18T09:49:47.525727
29,e408ec7d-e01c-4fd3-95eb-f063c755a514,William,Russell,"['34.61667', '135.6', 'Yao', 'JP', 'Asia/Tokyo']",2021-11-04T23:54:17.562181
30,2dde59e0-7f16-4e12-8087-d8eefd243261,Keith,Castillo,"['26.9423', '68.11759', 'Tharu Shah', 'PK', 'Asia/Karachi']",2020-02-12T15:00:45.023187
31,9d445ea0-53b3-4de6-950e-8443a15de80a,Matthew,Beck,"['-6.8048', '110.8405', 'Kudus', 'ID', 'Asia/Jakarta']",2020-06-08T16:31:56.447974
32,49576bdb-5b9a-40f1-878f-8d2f455a6db3,Alfred,Morris,"['-4.42472', '-41.45861', 'Pedro II', 'BR', 'America/Fortaleza']",2022-02-25T19:31:27.266720
33,808cec09-2458-4aae-8c37-1144e84f4c77,Jennifer,Norton,"['42.30865', '-83.48216', 'Canton', 'US', 'America/Detroit']",2022-05-05T17:58:40.853622
34,957b9e01-2afb-4010-99f6-cd4e9c1e4e75,Jessica,Martinez,"['-21.41222', '-42.19667', 'Miracema', 'BR', 'America/Sao_Paulo']",2024-01-05T13:22:35.984455
35,c141089a-cb03-4610-aec6-cfe7a1e4402c,Charles,Nguyen,"['50.74497', '3.20639', 'Mouscron', 'BE', 'Europe/Brussels']",2024-01-14T11:11:06.213393
36,93995d67-b7b4-499d-9460-7386984d0249,Sandra,Sanchez,"['11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata']",2020-02-01T03:44:35.604207
37,252e1e02-9288-43c3-8846-1dab80ecaf72,Brian,Fitzpatrick,"['50.23019', '8.77155', 'Karben', 'DE', 'Europe/Berlin']",2021-02-06T21:26:45.356188
38,9e0d96f6-ed1a-4fbe-b51b-1aabe096424d,Robert,Ballard,"['5.30383', '-1.98956', 'Tarkwa', 'GH', 'Africa/Accra']",2020-05-25T16:26:32.912201
39,59655b00-a80b-4db6-aee6-7ac9437ea81e,Beverly,Maxwell,"['41.50343', '-74.01042', 'Newburgh', 'US', 'America/New_York']",2023-10-22T02:53:30.969611
40,5b22f0b7-841d-418d-b89e-a271b4be348b,David,Thomas,"['50.86079', '17.4674', 'Brzeg', 'PL', 'Europe/Warsaw']",2020-05-03T22:46:45.621753
41,af826a1d-3eee-459f-abcb-e688093a1211,Grant,Sweeney,"['-8.76194', '-63.90389', 'Porto Velho', 'BR', 'America/Porto_Velho']",2021-03-07T03:47:35.285743
42,af9143eb-9f29-47c1-baa0-bfc0f5e25679,Benjamin,Richards,"['38.13708', '41.00817', 'Silvan', 'TR', 'Europe/Istanbul']",2024-03-08T00:33:35.030792
43,ee31fafd-6cda-44fd-9bcc-58d1e0514799,John,Boyd,"['-8.28333', '-35.03333', 'Cabo', 'BR', 'America/Recife']",2022-08-01T16:22:55.660157
44,c605f1d6-5d6a-4f02-b797-eb2de305c598,Jordan,Smith,"['39.00622', '-77.4286', 'Sterling', 'US', 'America/New_York']",2023-06-18T12:48:55.446831
